Id,Zone,Type,Location,Baths,Area,Purpose,Bedrooms,Added,Price,hasFlooring,hasElectricityBackup,hasLift,hasGarden,hasParking,hasSwimmingPool,hasJacuzzi,hasMaintenanceStaff,hasSecurityStaff,URL
23871774,DHA Phase 7 Extension,Flat,"DHA Phase 7 Extension, DHA Defence, Karachi, Sindh",2,2.2 Marla,For Sale,2,15 hours ago,46 Lakh,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_defence_dha_phase_7_extension_studio_flat__available_for_sale-23871774-1674-1.html
18150026,DHA Phase 7,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",5,1 Kanal,For Sale,5,1 day ago,9 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_prime_location_bangalow__for_sale_phase_7-18150026-1484-1.html
20946258,DHA Phase 7,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",5,1 Kanal,For Sale,5,1 day ago,9 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_prime_location_ideal__bungalow_for_sale_phase_7-20946258-1484-1.html
23512163,DHA Phase 5,House,"DHA Phase 5, DHA Defence, Karachi, Sindh",5,10 Marla,For Sale,4,1 week ago,6 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_5_4_years_old_4_bed_bungalow_is_available_for_sale_in_dha_phase_5-23512163-1482-1.html
24331106,DHA Phase 6,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,1.2 Kanal,For Sale,4,1 day ago,8.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_600_yard_bungalow_available_for_sale-24331106-1483-1.html
21072075,DHA Phase 7,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",5,1 Kanal,For Sale,5,3 weeks ago,11 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_phase_7_500_sq_yards_bungalow_for_urgent_sale-21072075-1484-1.html
24160547,DHA Phase 6,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",7,1.2 Kanal,For Sale,6,1 day ago,13 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_purely_onwers_built_600_yards_banglow_iwth_basment_near_bukhari_park-24160547-1483-1.html
6395780,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",5,4.8 Marla,For Sale,4,2 days ago,4.8 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_ready_to_move_brand_new_bungalow_for_sale_facing_creek_vista_phase_8_dha-6395780-1485-1.html
23892862,DHA Phase 4,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",4,1 Kanal,For Sale,4,2 days ago,9 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_4_500_sq_yards_fully_renovated_bungalow_for_sale-23892862-1481-1.html
24382688,DHA Phase 5,House,"DHA Phase 5, DHA Defence, Karachi, Sindh",5,1 Kanal,For Sale,5,3 weeks ago,12 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_5_500_square_yards_like_a_new_bungalow_available_for_sale__-24382688-1482-1.html
23762723,DHA Phase 8 - Zone B,House,"DHA Phase 8 - Zone B, DHA Phase 8, DHA Defence, Karachi, Sindh",7,2 Kanal,For Sale,7,2 weeks ago,23 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_zone_b_double_storey_house_for_sale-23762723-6678-1.html
24376951,DHA Phase 5,House,"DHA Phase 5, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,5,1 day ago,9.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_5_500_yard_bungalow_available_for_sale-24376951-1482-1.html
24705590,DHA Defence,Flat,"DHA Defence, Karachi, Sindh",2,5.1 Marla,For Sale,2,2 days ago,1 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/karachi_dha_defence_flat_for_sale_in_florida_homes_2_bed_launch_kitchen_1150sq_feet_with_car_parking-24705590-213-1.html
23948193,DHA Phase 8 - Zone A,House,"DHA Phase 8 - Zone A, DHA Phase 8, DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,2 days ago,13.75 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_zone_a_brand_new_500_sq_yards_bungalow_for_sale-23948193-6677-1.html
24221573,DHA Phase 8 - Zone A,House,"DHA Phase 8 - Zone A, DHA Phase 8, DHA Defence, Karachi, Sindh",7,2 Kanal,For Sale,6,4 weeks ago,28 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_zone_a_1000_yards_brand_new_100_owner_built_house_for_sale-24221573-6677-1.html
24340165,DHA Phase 5,Flat,"DHA Phase 5, DHA Defence, Karachi, Sindh",4,11.1 Marla,For Sale,3,4 weeks ago,3.2 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_5_3_bed_apartment_for_sale-24340165-1482-1.html
